Time (ms),angleL,angleR,angDispL,angDispR,dThetaL,dThetaR
2,249.0,237.7,0.09999999999999432,0.09999999999999432,0.09999999999999432,0.09999999999999432
5,248.9,237.7,359.9,0.09999999999999432,359.9,0.09999999999999432
7,248.9,237.6,359.9,0.0,359.9,0.0
14,248.9,237.6,0.0,0.0,0.0,0.0
14,249.0,237.6,0.09999999999999432,0.0,0.09999999999999432,0.0
14,248.9,237.6,360.0,0.0,359.9,0.0
14,249.0,237.7,360.1,0.09999999999999432,0.09999999999999432,0.09999999999999432
14,249.0,237.6,360.1,360.0,0.0,359.9
17,248.9,237.7,0.0,0.09999999999999432,0.0,0.09999999999999432
43,249.0,238.0,0.0,0.09999999999999432,0.0,0.09999999999999432
43,248.9,238.2,359.9,0.29999999999998295,359.9,0.19999999999998863
43,248.9,238.4,359.9,0.5,0.0,0.20000000000001705
43,248.9,238.5,359.9,0.5999999999999943,0.0,0.09999999999999432
43,248.9,238.8,359.9,0.9000000000000057,0.0,0.30000000000001137
43,248.9,239.0,359.9,1.0999999999999943,0.0,0.19999999999998863
43,249.0,239.3,360.0,1.4000000000000057,0.09999999999999432,0.30000000000001137
43,249.0,239.6,360.0,1.6999999999999886,0.0,0.29999999999998295
43,249.1,239.9,360.1,2.0,0.09999999999999432,0.30000000000001137
43,249.1,240.3,360.1,2.4000000000000057,0.0,0.4000000000000057
44,249.1,240.7,360.1,2.799999999999983,0.0,0.39999999999997726
44,249.1,241.1,360.1,3.1999999999999886,0.0,0.4000000000000057
44,249.1,241.4,360.1,3.5,0.0,0.30000000000001137
44,249.0,241.8,720.0,3.9000000000000057,359.9,0.4000000000000057
44,249.1,242.2,720.1,4.299999999999983,0.09999999999999432,0.39999999999997726
44,249.1,242.6,720.1,4.699999999999989,0.0,0.4000000000000057
44,249.1,242.9,720.1,5.0,0.0,0.30000000000001137
44,249.1,243.4,720.1,5.5,0.0,0.5
44,249.1,243.9,720.1,6.0,0.0,0.5
44,249.2,244.3,720.2,6.400000000000006,0.09999999999999432,0.4000000000000057
44,249.1,244.7,1080.1,6.799999999999983,359.9,0.39999999999997726
44,249.2,245.2,1080.1999999999998,7.299999999999983,0.09999999999999432,0.5
44,249.2,245.8,1080.1999999999998,7.900000000000006,0.0,0.6000000000000227
46,249.3,246.9,0.10000000000002274,0.5999999999999943,0.10000000000002274,0.5999999999999943
72,249.2,247.9,0.09999999999999432,0.4000000000000057,0.09999999999999432,0.4000000000000057
73,249.2,248.3,0.09999999999999432,0.8000000000000114,0.0,0.4000000000000057
73,249.2,248.6,0.09999999999999432,1.0999999999999943,0.0,0.29999999999998295
73,249.2,249.1,0.09999999999999432,1.5999999999999943,0.0,0.5
73,249.3,249.3,0.20000000000001705,1.8000000000000114,0.10000000000002274,0.20000000000001705
73,249.3,249.6,0.20000000000001705,2.0999999999999943,0.0,0.29999999999998295
73,249.2,249.9,360.1,2.4000000000000057,359.9,0.30000000000001137
73,249.2,250.1,360.1,2.5999999999999943,0.0,0.19999999999998863
73,249.2,250.4,360.1,2.9000000000000057,0.0,0.30000000000001137
73,249.3,250.7,360.20000000000005,3.1999999999999886,0.10000000000002274,0.29999999999998295
73,249.4,251.1,360.30000000000007,3.5999999999999943,0.09999999999999432,0.4000000000000057
73,249.5,251.4,360.4000000000001,3.9000000000000057,0.09999999999999432,0.30000000000001137
73,249.5,251.8,360.4000000000001,4.300000000000011,0.0,0.4000000000000057
73,249.5,252.2,360.4000000000001,4.699999999999989,0.0,0.39999999999997726
73,249.7,252.5,360.6000000000001,5.0,0.19999999999998863,0.30000000000001137
73,249.7,252.9,360.6000000000001,5.400000000000006,0.0,0.4000000000000057
73,249.7,253.3,360.6000000000001,5.800000000000011,0.0,0.4000000000000057
73,249.9,253.7,360.80000000000007,6.199999999999989,0.20000000000001705,0.39999999999997726
73,249.9,254.1,360.80000000000007,6.599999999999994,0.0,0.4000000000000057
73,250.1,254.4,361.00000000000006,6.900000000000006,0.19999999999998863,0.30000000000001137
73,250.0,254.9,720.9000000000001,7.400000000000006,359.9,0.5
73,250.1,255.3,721.0000000000001,7.800000000000011,0.09999999999999432,0.4000000000000057
73,250.2,255.8,721.1000000000001,8.300000000000011,0.09999999999999432,0.5
75,250.3,256.8,0.10000000000002274,0.4000000000000341,0.10000000000002274,0.4000000000000341
118,250.4,257.7,0.09999999999999432,0.5,0.09999999999999432,0.5
118,250.4,258.1,0.09999999999999432,0.9000000000000341,0.0,0.4000000000000341
118,250.5,258.5,0.19999999999998863,1.3000000000000114,0.09999999999999432,0.39999999999997726
118,250.6,258.9,0.29999999999998295,1.6999999999999886,0.09999999999999432,0.39999999999997726
118,250.6,259.3,0.29999999999998295,2.1000000000000227,0.0,0.4000000000000341
118,250.7,259.7,0.39999999999997726,2.5,0.09999999999999432,0.39999999999997726
118,250.7,260.1,0.39999999999997726,2.900000000000034,0.0,0.4000000000000341
118,250.8,260.5,0.5,3.3000000000000114,0.10000000000002274,0.39999999999997726
118,251.0,260.8,0.6999999999999886,3.6000000000000227,0.19999999999998863,0.30000000000001137
118,251.2,261.3,0.8999999999999773,4.100000000000023,0.19999999999998863,0.5
118,251.3,261.7,1.0,4.5,0.10000000000002274,0.39999999999997726
118,251.4,262.1,1.0999999999999943,4.900000000000034,0.09999999999999432,0.4000000000000341
118,251.5,262.5,1.1999999999999886,5.300000000000011,0.09999999999999432,0.39999999999997726
118,251.7,263.0,1.3999999999999773,5.800000000000011,0.19999999999998863,0.5
118,251.8,263.4,1.5,6.199999999999989,0.10000000000002274,0.39999999999997726
118,252.0,263.9,1.6999999999999886,6.699999999999989,0.19999999999998863,0.5
118,252.1,264.3,1.799999999999983,7.100000000000023,0.09999999999999432,0.4000000000000341
118,252.3,264.8,2.0,7.600000000000023,0.20000000000001705,0.5
118,252.4,265.3,2.0999999999999943,8.100000000000023,0.09999999999999432,0.5
118,252.7,265.8,2.3999999999999773,8.600000000000023,0.29999999999998295,0.5
118,252.9,266.3,2.5999999999999943,9.100000000000023,0.20000000000001705,0.5
118,253.2,266.7,2.8999999999999773,9.5,0.29999999999998295,0.39999999999997726
118,253.5,267.3,3.1999999999999886,10.100000000000023,0.30000000000001137,0.6000000000000227
118,253.7,267.7,3.3999999999999773,10.5,0.19999999999998863,0.39999999999997726
118,254.0,268.1,3.6999999999999886,10.900000000000034,0.30000000000001137,0.4000000000000341
118,254.3,268.5,4.0,11.300000000000011,0.30000000000001137,0.39999999999997726
118,254.6,268.8,4.299999999999983,11.600000000000023,0.29999999999998295,0.30000000000001137
118,255.0,269.1,4.699999999999989,11.900000000000034,0.4000000000000057,0.30000000000001137
118,255.3,269.4,5.0,12.199999999999989,0.30000000000001137,0.2999999999999545
118,255.6,269.7,5.299999999999983,12.5,0.29999999999998295,0.30000000000001137
118,255.9,269.9,5.599999999999994,12.699999999999989,0.30000000000001137,0.19999999999998863
118,256.3,270.1,6.0,12.900000000000034,0.4000000000000057,0.20000000000004547
118,256.6,270.2,6.300000000000011,13.0,0.30000000000001137,0.0999999999999659
118,257.0,270.4,6.699999999999989,13.199999999999989,0.39999999999997726,0.19999999999998863
118,257.3,270.5,7.0,13.300000000000011,0.30000000000001137,0.10000000000002274
118,257.7,270.7,7.399999999999977,13.5,0.39999999999997726,0.19999999999998863
118,258.1,270.9,7.800000000000011,13.699999999999989,0.4000000000000341,0.19999999999998863
118,258.4,271.0,8.099999999999966,13.800000000000011,0.2999999999999545,0.10000000000002274
121,259.6,271.3,0.5,0.19999999999998863,0.5,0.19999999999998863
151,260.4,271.4,0.5,0.0,0.5,0.0
151,260.8,271.5,0.9000000000000341,0.10000000000002274,0.4000000000000341,0.10000000000002274
151,261.1,271.6,1.2000000000000455,0.20000000000004547,0.30000000000001137,0.10000000000002274
151,261.5,271.8,1.6000000000000227,0.4000000000000341,0.39999999999997726,0.19999999999998863
151,261.8,271.9,1.900000000000034,0.5,0.30000000000001137,0.0999999999999659
151,262.0,272.0,2.1000000000000227,0.6000000000000227,0.19999999999998863,0.10000000000002274
151,262.3,272.2,2.400000000000034,0.8000000000000114,0.30000000000001137,0.19999999999998863
151,262.6,272.3,2.7000000000000455,0.9000000000000341,0.30000000000001137,0.10000000000002274
151,263.0,272.5,3.1000000000000227,1.1000000000000227,0.39999999999997726,0.19999999999998863
151,263.4,272.7,3.5,1.3000000000000114,0.39999999999997726,0.19999999999998863
151,263.7,272.8,3.8000000000000114,1.400000000000034,0.30000000000001137,0.10000000000002274
151,264.2,273.1,4.300000000000011,1.7000000000000455,0.5,0.30000000000001137
151,264.5,273.3,4.600000000000023,1.900000000000034,0.30000000000001137,0.19999999999998863
151,265.0,273.7,5.100000000000023,2.3000000000000114,0.5,0.39999999999997726
151,265.3,274.0,5.400000000000034,2.6000000000000227,0.30000000000001137,0.30000000000001137
151,265.8,274.5,5.900000000000034,3.1000000000000227,0.5,0.5
151,266.2,274.8,6.300000000000011,3.400000000000034,0.39999999999997726,0.30000000000001137
151,266.7,275.2,6.800000000000011,3.8000000000000114,0.5,0.39999999999997726
151,267.1,275.7,7.2000000000000455,4.300000000000011,0.4000000000000341,0.5
151,267.6,276.0,7.7000000000000455,4.600000000000023,0.5,0.30000000000001137
151,268.3,276.4,8.400000000000034,5.0,0.6999999999999886,0.39999999999997726
151,268.7,276.9,8.800000000000011,5.5,0.39999999999997726,0.5
151,269.2,277.4,9.300000000000011,6.0,0.5,0.5
151,269.9,277.8,10.0,6.400000000000034,0.6999999999999886,0.4000000000000341
151,270.2,278.2,10.300000000000011,6.800000000000011,0.30000000000001137,0.39999999999997726
151,270.6,278.7,10.700000000000045,7.300000000000011,0.4000000000000341,0.5
151,271.2,279.3,11.300000000000011,7.900000000000034,0.5999999999999659,0.6000000000000227
154,272.3,280.6,0.6000000000000227,0.6000000000000227,0.6000000000000227,0.6000000000000227
177,273.2,281.6,0.5,0.5,0.5,0.5
177,273.7,282.0,1.0,0.8999999999999773,0.5,0.39999999999997726
177,274.0,282.4,1.3000000000000114,1.2999999999999545,0.30000000000001137,0.39999999999997726
177,274.5,282.7,1.8000000000000114,1.599999999999966,0.5,0.30000000000001137
177,274.7,283.0,2.0,1.8999999999999773,0.19999999999998863,0.30000000000001137
177,275.2,283.3,2.5,2.1999999999999886,0.5,0.30000000000001137
177,275.6,283.6,2.900000000000034,2.5,0.4000000000000341,0.30000000000001137
177,275.9,284.0,3.1999999999999886,2.8999999999999773,0.2999999999999545,0.39999999999997726
177,276.4,284.4,3.6999999999999886,3.2999999999999545,0.5,0.39999999999997726
177,276.7,284.8,4.0,3.6999999999999886,0.30000000000001137,0.4000000000000341
177,277.2,285.2,4.5,4.099999999999966,0.5,0.39999999999997726
177,277.6,285.6,4.900000000000034,4.5,0.4000000000000341,0.4000000000000341
177,277.8,286.0,5.100000000000023,4.899999999999977,0.19999999999998863,0.39999999999997726
177,278.3,286.3,5.600000000000023,5.199999999999989,0.5,0.30000000000001137
177,278.7,286.8,6.0,5.699999999999989,0.39999999999997726,0.5
177,279.1,287.2,6.400000000000034,6.099999999999966,0.4000000000000341,0.39999999999997726
177,279.5,287.7,6.800000000000011,6.599999999999966,0.39999999999997726,0.5
177,280.0,288.2,7.300000000000011,7.099999999999966,0.5,0.5
177,280.5,288.6,7.800000000000011,7.5,0.5,0.4000000000000341
177,281.0,289.0,8.300000000000011,7.899999999999977,0.5,0.39999999999997726
179,282.2,290.3,0.5999999999999659,0.5,0.5999999999999659,0.5
201,283.4,291.4,0.5999999999999659,0.5,0.5999999999999659,0.5
201,283.9,291.9,1.099999999999966,1.0,0.5,0.5
201,284.3,292.2,1.5,1.3000000000000114,0.4000000000000341,0.30000000000001137
201,284.7,292.7,1.8999999999999773,1.8000000000000114,0.39999999999997726,0.5
201,285.1,293.0,2.3000000000000114,2.1000000000000227,0.4000000000000341,0.30000000000001137
201,285.6,293.3,2.8000000000000114,2.400000000000034,0.5,0.30000000000001137
201,285.7,293.6,2.8999999999999773,2.7000000000000455,0.0999999999999659,0.30000000000001137
201,286.0,293.9,3.1999999999999886,3.0,0.30000000000001137,0.2999999999999545
201,286.5,294.3,3.6999999999999886,3.400000000000034,0.5,0.4000000000000341
201,286.9,294.6,4.099999999999966,3.7000000000000455,0.39999999999997726,0.30000000000001137
201,287.3,295.1,4.5,4.2000000000000455,0.4000000000000341,0.5
201,287.8,295.5,5.0,4.600000000000023,0.5,0.39999999999997726
201,288.3,295.9,5.5,5.0,0.5,0.39999999999997726
201,288.6,296.3,5.800000000000011,5.400000000000034,0.30000000000001137,0.4000000000000341
201,289.1,296.8,6.300000000000011,5.900000000000034,0.5,0.5
201,289.6,297.3,6.800000000000011,6.400000000000034,0.5,0.5
201,290.2,297.8,7.399999999999977,6.900000000000034,0.5999999999999659,0.5
201,290.6,298.3,7.800000000000011,7.400000000000034,0.4000000000000341,0.5
201,291.1,298.8,8.300000000000011,7.900000000000034,0.5,0.5
204,292.3,300.0,0.5,0.5,0.5,0.5
223,293.5,301.2,0.6999999999999886,0.5999999999999659,0.6999999999999886,0.5999999999999659
223,294.0,301.7,1.1999999999999886,1.099999999999966,0.5,0.5
223,294.4,302.1,1.599999999999966,1.5,0.39999999999997726,0.4000000000000341
223,295.0,302.7,2.1999999999999886,2.099999999999966,0.6000000000000227,0.5999999999999659
223,295.4,303.1,2.599999999999966,2.5,0.39999999999997726,0.4000000000000341
223,295.9,303.7,3.099999999999966,3.099999999999966,0.5,0.5999999999999659
223,296.5,304.2,3.6999999999999886,3.599999999999966,0.6000000000000227,0.5
223,297.1,304.6,4.300000000000011,4.0,0.6000000000000227,0.4000000000000341
223,297.7,305.1,4.899999999999977,4.5,0.5999999999999659,0.5
223,298.1,305.7,5.300000000000011,5.099999999999966,0.4000000000000341,0.5999999999999659
223,298.5,306.0,5.699999999999989,5.399999999999977,0.39999999999997726,0.30000000000001137
223,299.2,306.5,6.399999999999977,5.899999999999977,0.6999999999999886,0.5
223,299.8,307.0,7.0,6.399999999999977,0.6000000000000227,0.5
223,300.3,307.5,7.5,6.899999999999977,0.5,0.5
223,300.9,308.0,8.099999999999966,7.399999999999977,0.5999999999999659,0.5
223,301.5,308.5,8.699999999999989,7.899999999999977,0.6000000000000227,0.5
225,302.8,309.8,0.6000000000000227,0.6000000000000227,0.6000000000000227,0.6000000000000227
248,304.2,310.9,0.6999999999999886,0.5999999999999659,0.6999999999999886,0.5999999999999659
248,304.9,311.4,1.3999999999999773,1.099999999999966,0.6999999999999886,0.5
248,305.3,311.8,1.8000000000000114,1.5,0.4000000000000341,0.4000000000000341
248,305.8,312.3,2.3000000000000114,2.0,0.5,0.5
248,306.2,312.6,2.6999999999999886,2.3000000000000114,0.39999999999997726,0.30000000000001137
248,306.6,313.0,3.1000000000000227,2.6999999999999886,0.4000000000000341,0.39999999999997726
248,307.0,313.2,3.5,2.8999999999999773,0.39999999999997726,0.19999999999998863
248,307.3,313.5,3.8000000000000114,3.1999999999999886,0.30000000000001137,0.30000000000001137
248,307.8,313.9,4.300000000000011,3.599999999999966,0.5,0.39999999999997726
248,308.2,314.2,4.699999999999989,3.8999999999999773,0.39999999999997726,0.30000000000001137
248,308.5,314.6,5.0,4.300000000000011,0.30000000000001137,0.4000000000000341
248,308.9,315.0,5.399999999999977,4.699999999999989,0.39999999999997726,0.39999999999997726
248,309.4,315.4,5.899999999999977,5.099999999999966,0.5,0.39999999999997726
248,309.8,315.8,6.300000000000011,5.5,0.4000000000000341,0.4000000000000341
248,310.3,316.2,6.800000000000011,5.899999999999977,0.5,0.39999999999997726
248,310.7,316.7,7.199999999999989,6.399999999999977,0.39999999999997726,0.5
248,311.2,317.2,7.699999999999989,6.899999999999977,0.5,0.5
248,311.7,317.6,8.199999999999989,7.300000000000011,0.5,0.4000000000000341
248,312.2,318.1,8.699999999999989,7.800000000000011,0.5,0.5
248,312.6,318.6,9.100000000000023,8.300000000000011,0.4000000000000341,0.5
251,314.0,319.8,0.6000000000000227,0.5,0.6000000000000227,0.5
268,315.3,321.0,0.6999999999999886,0.6999999999999886,0.6999999999999886,0.6999999999999886
268,315.8,321.5,1.1999999999999886,1.1999999999999886,0.5,0.5
268,316.4,322.0,1.7999999999999545,1.6999999999999886,0.5999999999999659,0.5
268,317.0,322.6,2.3999999999999773,2.3000000000000114,0.6000000000000227,0.6000000000000227
268,317.5,323.1,2.8999999999999773,2.8000000000000114,0.5,0.5
268,318.0,323.6,3.3999999999999773,3.3000000000000114,0.5,0.5
268,318.6,324.2,4.0,3.8999999999999773,0.6000000000000227,0.5999999999999659
268,319.1,324.6,4.5,4.300000000000011,0.5,0.4000000000000341
268,319.8,325.3,5.199999999999989,5.0,0.6999999999999886,0.6999999999999886
268,320.3,325.8,5.699999999999989,5.5,0.5,0.5
268,320.8,326.3,6.199999999999989,6.0,0.5,0.5
268,321.4,326.9,6.7999999999999545,6.599999999999966,0.5999999999999659,0.5999999999999659
268,322.1,327.5,7.5,7.199999999999989,0.7000000000000455,0.6000000000000227
268,322.6,327.9,8.0,7.599999999999966,0.5,0.39999999999997726
268,323.3,328.5,8.699999999999989,8.199999999999989,0.6999999999999886,0.6000000000000227
271,324.7,329.9,0.6999999999999886,0.5999999999999659,0.6999999999999886,0.5999999999999659
287,326.1,331.3,0.8000000000000114,0.6999999999999886,0.8000000000000114,0.6999999999999886
287,326.7,331.8,1.3999999999999773,1.1999999999999886,0.5999999999999659,0.5
287,327.3,332.4,2.0,1.7999999999999545,0.6000000000000227,0.5999999999999659
287,327.8,333.0,2.5,2.3999999999999773,0.5,0.6000000000000227
287,328.5,333.6,3.1999999999999886,3.0,0.6999999999999886,0.6000000000000227
287,329.1,334.1,3.8000000000000114,3.5,0.6000000000000227,0.5
287,329.8,334.7,4.5,4.099999999999966,0.6999999999999886,0.5999999999999659
287,330.4,335.3,5.099999999999966,4.699999999999989,0.5999999999999659,0.6000000000000227
287,331.0,335.9,5.699999999999989,5.2999999999999545,0.6000000000000227,0.5999999999999659
287,331.6,336.5,6.300000000000011,5.899999999999977,0.6000000000000227,0.6000000000000227
287,332.1,337.0,6.800000000000011,6.399999999999977,0.5,0.5
287,332.8,337.6,7.5,7.0,0.6999999999999886,0.6000000000000227
287,333.3,338.2,8.0,7.599999999999966,0.5,0.5999999999999659
287,334.0,338.7,8.699999999999989,8.099999999999966,0.6999999999999886,0.5
290,335.6,340.1,0.7000000000000455,0.6000000000000227,0.7000000000000455,0.6000000000000227
306,336.9,341.5,0.7999999999999545,0.6999999999999886,0.7999999999999545,0.6999999999999886
306,337.4,342.1,1.2999999999999545,1.3000000000000114,0.5,0.6000000000000227
306,338.1,342.6,2.0,1.8000000000000114,0.7000000000000455,0.5
306,338.7,343.2,2.599999999999966,2.3999999999999773,0.5999999999999659,0.5999999999999659
306,339.3,343.7,3.1999999999999886,2.8999999999999773,0.6000000000000227,0.5
306,340.0,344.3,3.8999999999999773,3.5,0.6999999999999886,0.6000000000000227
306,340.5,344.8,4.399999999999977,4.0,0.5,0.5
306,341.2,345.4,5.099999999999966,4.599999999999966,0.6999999999999886,0.5999999999999659
306,341.7,345.9,5.599999999999966,5.099999999999966,0.5,0.5
306,342.3,346.4,6.199999999999989,5.599999999999966,0.6000000000000227,0.5
306,342.9,347.0,6.7999999999999545,6.199999999999989,0.5999999999999659,0.6000000000000227
306,343.5,347.5,7.399999999999977,6.699999999999989,0.6000000000000227,0.5
306,344.0,348.1,7.899999999999977,7.300000000000011,0.5,0.6000000000000227
306,344.6,348.7,8.5,7.899999999999977,0.6000000000000227,0.5999999999999659
309,346.0,350.1,0.6999999999999886,0.6000000000000227,0.6999999999999886,0.6000000000000227
330,347.1,351.5,0.6000000000000227,0.8000000000000114,0.6000000000000227,0.8000000000000114
330,347.5,352.0,1.0,1.3000000000000114,0.39999999999997726,0.5
330,348.0,352.6,1.5,1.900000000000034,0.5,0.6000000000000227
330,348.3,353.1,1.8000000000000114,2.400000000000034,0.30000000000001137,0.5
330,348.6,353.8,2.1000000000000227,3.1000000000000227,0.30000000000001137,0.6999999999999886
330,348.9,354.4,2.3999999999999773,3.6999999999999886,0.2999999999999545,0.5999999999999659
330,349.4,355.0,2.8999999999999773,4.300000000000011,0.5,0.6000000000000227
330,349.8,355.5,3.3000000000000114,4.800000000000011,0.4000000000000341,0.5
330,350.3,356.1,3.8000000000000114,5.400000000000034,0.5,0.6000000000000227
